t concentration bin0 bin1 bin2 bin3 bin4 bin5 bin6 bin7 bin8 bin9
0.115907 0 10000 0 0 0 0 0 0 0 0 0
0.116111 0 10000 0 0 0 0 0 0 0 0 0
0.116315 0 10000 0 0 0 0 0 0 0 0 0
0.116519 0 10000 0 0 0 0 0 0 0 0 0
0.116723 0 10000 0 0 0 0 0 0 0 0 0
0.116927 0 10000 0 0 0 0 0 0 0 0 0
0.117131 0 10000 0 0 0 0 0 0 0 0 0
0.117335 0 10000 0 0 0 0 0 0 0 0 0
0.117539 0 10000 0 0 0 0 0 0 0 0 0
0.117743 0 10000 0 0 0 0 0 0 0 0 0
0.117947 0 10000 0 0 0 0 0 0 0 0 0
0.118151 0 10000 0 0 0 0 0 0 0 0 0
0.118355 0 10000 0 0 0 0 0 0 0 0 0
0.118559 0 10000 0 0 0 0 0 0 0 0 0
0.118763 0 10000 0 0 0 0 0 0 0 0 0
0.118967 0 10000 0 0 0 0 0 0 0 0 0
0.119172 0 10000 0 0 0 0 0 0 0 0 0
0.119376 0 10000 0 0 0 0 0 0 0 0 0
0.11958 0 10000 0 0 0 0 0 0 0 0 0
0.119784 0 10000 0 0 0 0 0 0 0 0 0
0.119988 0 10000 0 0 0 0 0 0 0 0 0
0.120192 0 10000 0 0 0 0 0 0 0 0 0
0.120396 0 10000 0 0 0 0 0 0 0 0 0
0.1206 0 10000 0 0 0 0 0 0 0 0 0
0.120804 0 10000 0 0 0 0 0 0 0 0 0
0.121008 0 10000 0 0 0 0 0 0 0 0 0
0.121212 0 10000 0 0 0 0 0 0 0 0 0
0.121416 0 10000 0 0 0 0 0 0 0 0 0
0.12162 0 10000 0 0 0 0 0 0 0 0 0
0.121824 0 10000 0 0 0 0 0 0 0 0 0
0.122028 0 10000 0 0 0 0 0 0 0 0 0
0.122232 0 10000 0 0 0 0 0 0 0 0 0
0.122436 0 10000 0 0 0 0 0 0 0 0 0
0.122641 0 10000 0 0 0 0 0 0 0 0 0
0.122845 0 10000 0 0 0 0 0 0 0 0 0
0.123049 0 10000 0 0 0 0 0 0 0 0 0
0.123253 0 10000 0 0 0 0 0 0 0 0 0
0.123457 0 10000 0 0 0 0 0 0 0 0 0
0.123661 0 10000 0 0 0 0 0 0 0 0 0
0.123865 0 10000 0 0 0 0 0 0 0 0 0
0.124069 0 10000 0 0 0 0 0 0 0 0 0
0.124273 0 10000 0 0 0 0 0 0 0 0 0
0.124477 0 10000 0 0 0 0 0 0 0 0 0
0.124681 0 10000 0 0 0 0 0 0 0 0 0
0.124885 0 10000 0 0 0 0 0 0 0 0 0
0.125089 0 10000 0 0 0 0 0 0 0 0 0
0.125293 0 10000 0 0 0 0 0 0 0 0 0
0.125497 0 10000 0 0 0 0 0 0 0 0 0
0.125701 0 10000 0 0 0 0 0 0 0 0 0
0.125906 0 10000 0 0 0 0 0 0 0 0 0
0.12611 0 10000 0 0 0 0 0 0 0 0 0
0.126314 0 10000 0 0 0 0 0 0 0 0 0
0.126518 0 10000 0 0 0 0 0 0 0 0 0
0.126722 0 10000 0 0 0 0 0 0 0 0 0
0.126926 0 10000 0 0 0 0 0 0 0 0 0
0.12713 0 10000 0 0 0 0 0 0 0 0 0
0.127334 0 10000 0 0 0 0 0 0 0 0 0
0.127538 0 10000 0 0 0 0 0 0 0 0 0
0.127742 0 10000 0 0 0 0 0 0 0 0 0
0.127946 0 10000 0 0 0 0 0 0 0 0 0
0.12815 0 10000 0 0 0 0 0 0 0 0 0
0.128354 0 10000 0 0 0 0 0 0 0 0 0
0.128558 0 10000 0 0 0 0 0 0 0 0 0
0.128762 0 10000 0 0 0 0 0 0 0 0 0
0.128966 0 10000 0 0 0 0 0 0 0 0 0
